path,module,category,lang,lines,status,note
.agents/skills/host-bridge-cli-prebuild/SKILL.md,.agents,other,markdown,66,pending,
.agents/skills/host-bridge-cli-prebuild/agents/openai.yaml,.agents,other,yaml,4,pending,
.agents/skills/host-bridge-cli-prebuild/references/prebuild-operations.md,.agents,other,markdown,207,pending,
.agents/skills/host-bridge-release-pipeline/SKILL.md,.agents,other,markdown,52,pending,
.agents/skills/host-bridge-release-pipeline/references/release-set-operations.md,.agents,other,markdown,56,pending,
.agents/skills/host-bridge-review-mirror/SKILL.md,.agents,other,markdown,65,pending,
.agents/skills/host-bridge-review-mirror/references/review-operations.md,.agents,other,markdown,84,pending,
.agents/skills/host-bridge-semantic-surface-review/SKILL.md,.agents,other,markdown,61,pending,
.agents/skills/host-bridge-semantic-surface-review/references/review-operations.md,.agents,other,markdown,114,pending,
.agents/skills/synthesis-reference-resolution-harness/SKILL.md,.agents,other,markdown,124,pending,
.agents/skills/synthesis-reference-resolution-harness/agents/openai.yaml,.agents,other,yaml,4,pending,
.agents/skills/synthesis-reference-resolution-harness/references/gold-labeling.md,.agents,other,markdown,48,pending,
.agents/skills/synthesis-reference-resolution-harness/review-app/app.js,.agents,other,javascript,593,pending,
.agents/skills/synthesis-reference-resolution-harness/review-app/index.html,.agents,other,html,83,pending,
.agents/skills/synthesis-reference-resolution-harness/review-app/styles.css,.agents,other,css,414,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/build_review_seed.ts,.agents,other,typescript,563,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/build_trusted_citekey_gold.py,.agents,other,python,730,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/evaluate_fixture.ts,.agents,other,typescript,108,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/extract_fixture.py,.agents,other,python,286,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/serve_review.ts,.agents,other,typescript,479,pending,
.agents/skills/synthesis-reference-resolution-harness/scripts/validate_fixture.ts,.agents,other,typescript,145,pending,
.agents/skills/synthesis-sidecar-prebuild/SKILL.md,.agents,other,markdown,252,pending,
.agents/skills/synthesis-sidecar-release-pipeline/SKILL.md,.agents,other,markdown,275,pending,
.agents/skills/zotero-agents-release-coordinator/SKILL.md,.agents,other,markdown,147,pending,
.agents/skills/zotero-agents-release-coordinator/references/failure-recovery.md,.agents,other,markdown,117,pending,
.agents/skills/zotero-agents-release-coordinator/references/host-bridge-change-detection.md,.agents,other,markdown,45,pending,
.agents/skills/zotero-agents-release-coordinator/references/release-playbook.md,.agents,other,markdown,167,pending,
.env.example,root,config,example,40,pending,
.gitattributes,root,config,gitattributes,0,pending,
.github/dependabot.yml,.github,config,yaml,16,pending,
.github/renovate.json,.github,config,json,4,pending,
.github/workflows/build-host-bridge-cli-prebuilds.yml,.github,config,yaml,174,pending,
.github/workflows/ci.yml,.github,config,yaml,199,pending,
.github/workflows/deploy-user-docs.yml,.github,config,yaml,50,pending,
.github/workflows/issue-bot.yml,.github,config,yaml,20,pending,
.github/workflows/prebuild-synthesis-sidecar-runtime.yml,.github,config,yaml,308,pending,
.github/workflows/publish-content-feed.yml,.github,config,yaml,77,pending,
.github/workflows/release-host-bridge.yml,.github,config,yaml,327,pending,
.github/workflows/release-synthesis-sidecar.yml,.github,config,yaml,110,pending,
.github/workflows/release.yml,.github,config,yaml,106,pending,
.github/workflows/verify-synthesis-sidecar.yml,.github,config,yaml,144,pending,
.gitignore,root,config,gitignore,95,pending,
.gitmodules,root,config,gitmodules,27,pending,
.prettierignore,root,config,prettierignore,52,pending,
.vscode/extensions.json,.vscode,config,json,7,pending,
.vscode/launch.json,.vscode,config,json,22,pending,
.vscode/settings.json,.vscode,config,json,14,pending,
.vscode/toolkit.code-snippets,.vscode,config,code-snippets,45,pending,
.worktreeinclude,root,config,worktreeinclude,8,pending,
AGENTS.md,root,doc,markdown,305,pending,
CONTEXT.md,root,doc,markdown,73,pending,
LICENSE,root,doc,none,661,pending,
README-de.md,root,doc,markdown,612,pending,
README-esES.md,root,doc,markdown,625,pending,
README-frFR.md,root,doc,markdown,612,pending,
README-itIT.md,root,doc,markdown,638,pending,
README-jaJP.md,root,doc,markdown,612,pending,
README-koKR.md,root,doc,markdown,625,pending,
README-ptBR.md,root,doc,markdown,625,pending,
README-ruRU.md,root,doc,markdown,625,pending,
README-zhCN.md,root,doc,markdown,629,pending,
README-zhTW.md,root,doc,markdown,625,pending,
README.md,root,doc,markdown,631,pending,
addon/bin/darwin-arm64/.gitkeep,addon,asset,gitkeep,1,pending,
addon/bin/darwin-arm64/synthesis-sidecar/LICENSE-AGPL-3.0.txt,addon,asset,text,661,pending,
addon/bin/darwin-arm64/synthesis-sidecar/licenses.json,addon,asset,json,279,pending,
